TranscriptID,AttemptNum,GradingCondition,RawLLMResponse,LLMModel,Temperature,MaxTokens,Clarity_of_Language,Lexical_Diversity,Conciseness_and_Completeness,Engagement_with_Health_Information,Health_Literacy_Indicator,Total_Score_Calculated,Total_Score_Reported,Parsing_Error
SYNTH_EXP1_001,1,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,2,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20  ",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,3,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20  ",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,4,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,5,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20  ",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,6,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20  ",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,7,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,8,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,9,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 3  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 3  
Total Score: 18  ",gpt-4o-mini,0.1,500,4,3,4,4,3,18,18,
SYNTH_EXP1_001,10,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,11,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
SYNTH_EXP1_001,12,G2_RubricBased,"Clarity of Language: 4  
Lexical Diversity: 4  
Conciseness and Completeness: 4  
Engagement with Health Information: 4  
Health Literacy Indicator: 4  
Total Score: 20",gpt-4o-mini,0.1,500,4,4,4,4,4,20,20,
